:bowtie:
😄	Ronreír	:smile:
💹	Gráfico	:chart:
💱	Cambio de divisas	:currency_exchange:
♈	Aries	:aries:
♉	Tauro	:taurus:
♊	Géminis	:gemini:
♋	Cáncer	:cancer:
♌	Leo	:leo:
♍	Virgo	:virgo:
♎	Libra	:libra:
♏	Escorpio	:scorpius:
♐	Sagitario	:sagittarius:
♑	Capricornio	:capricorn:
♒	Acuario	:aquarius:
♓	Piscis	:pisces:
⛎	Ofiuco	:ophiuchus:
🔯	Estrella de seis puntas	:six_pointed_star:
❎	Cruz de negación cuadrada	:negative_squared_cross_mark:
🅰️	A	:a:
🅱️	B	:b:
🆎	AB	:ab:
🅾️	O 2	:o2:
💠	Diamante con punto en el centro	:diamond_shape_with_a_dot_inside:
♻️	Reciclar	:recycle:
🔚	Fin	:end:
🔛	ON	:on:
🔜	SOON	:soon:
🕐	Reloj 1	:clock1:
🕜	Reloj 1:30	:clock130:
🕙	Reloj 10	:clock10:
🕥	Reloj 10:30	:clock1030:
🕚	Reloj 11	:clock11:
🕦	Reloj 11:30	:clock1130:
🕛	Reloj 12	:clock12:
🕧	Reloj 12:30	:clock1230:
🕑	Reloj 2	:clock2:
🕝	Reloj 2:30	:clock230:
🕒	Reloj 3	:clock3:
🕞	Reloj 3:30	:clock330:
🕓	Reloj 4	:clock4:
🕟	Reloj 4:30	:clock430:
🕔	Reloj 5	:clock5:
🕠	Reloj 5:30	:clock530:
🕕	Reloj 6	:clock6:
🕡	Reloj 6:30	:clock630:
🕖	Reloj 7	:clock7:
🕢	Reloj 7:30	:clock730:
🕗	Reloj 8	:clock8:
🕣	Reloj 8:30	:clock830:
🕘	Reloj 9	:clock9:
🕤	Reloj 9:30	:clock930:
💲	Símbolo del dólar	:heavy_dollar_sign:
©️	Copyright	:copyright:
®️	Registrado	:registered:
™️	TM	:tm:
❌	X	:x:
❗	Exclamación fuerte	:heavy_exclamation_mark:
‼️	Bang Bang	:bangbang:
⁉️	Interrogación Bang	:interrobang:
⭕	O	:o:
✖️	Signo multiplicación fuerte	:heavy_multiplication_x:
➕	Signo suma fuerte	:heavy_plus_sign:
➖	Signo resta fuerte	:heavy_minus_sign:
➗	Signo división fuerte	:heavy_division_sign:
💮	Flor blanca	:white_flower:
💯	100	:100:
✔️	Signo check fuerte	:heavy_check_mark:
☑️	Cuadrado con check	:ballot_box_with_check:
🔘	Botón de radio	:radio_button:
🔗	Enlace	:link:
➰	Loop ondulado	:curly_loop:
〰️	Guión andulado	:wavy_dash:
〽️	Marca alternativa	:part_alternation_mark:
🔱	Tridente	:trident:
◼️	Cuadrado negro	:black_square:
◻️	Cuadrado blanco	:white_square:
✅	Marca check blanca	:white_check_mark:
🔲	Botón negro cuadrado	:black_square_button:
🔳	Botón blanco cuadrado	:white_square_button:
⚫	Círculo negro	:black_circle:
⚪	Círculo blanco	:white_circle:
🔴	Círculo rojo	:red_circle:
🔵	Círculo grande azul	:large_blue_circle:
🔷	Rombo grande azul	:large_blue_diamond:
🔶	Rombo grande naranja	:large_orange_diamond:
🔹	Rombo pequeño azul	:small_blue_diamond:
🔸	Rombo pequeño naranja	:small_orange_diamond:
🔺	Triángulo pequeño rojo	:small_red_triangle:
🔻	Triángulo pequeño rojo abajo	:small_red_triangle_down:
:shipit:	Shipit	:shipit:
